index,datacase,gougeevent_id,Qinv_quart,Nvalidsensors,M0_mean,M0_std,Tw_mean,Tw_std
fb03-087,fb03-087__0055,55,noQcorr,4,4.56941980e-01,1.27731386e-01,3.26810697e-06,2.23808437e-07
fb03-087,fb03-087__0059,59,noQcorr,3,1.09288684e-01,6.50532661e-02,3.18188896e-06,4.61039733e-07
fb03-087,fb03-087__0061,61,noQcorr,4,7.55250913e-01,1.40203616e-01,3.07815457e-06,1.38336071e-07
fb03-087,fb03-087__0062,62,noQcorr,4,5.98976652e-01,1.44075099e-01,3.00792382e-06,1.25391276e-07
fb03-087,fb03-087__0069,69,noQcorr,4,2.30856716e-01,1.95939331e-02,2.53516826e-06,1.46405721e-07
fb03-087,fb03-087__0072,72,noQcorr,4,8.35449789e-01,1.29949572e-01,3.08543610e-06,1.34747652e-07
fb03-087,fb03-087__0075,75,noQcorr,4,3.31331647e-01,4.64606295e-02,3.16611965e-06,3.57611791e-07
fb03-087,fb03-087__0076,76,noQcorr,3,7.84786912e-01,4.85858780e-01,3.24518353e-06,6.31842900e-07
fb03-087,fb03-087__0077,77,noQcorr,4,8.04681271e-01,2.95884564e-01,3.13442753e-06,1.92141462e-07
fb03-087,fb03-087__0081,81,noQcorr,1,7.08194294e-02,,3.04825108e-06,
fb03-087,fb03-087__0085,85,noQcorr,4,4.55729961e-01,1.00287316e-01,2.74748454e-06,1.57422014e-07
fb03-087,fb03-087__0088,88,noQcorr,3,1.07910755e+00,3.33456480e-01,3.00846513e-06,2.73008377e-07
fb03-087,fb03-087__0089,89,noQcorr,4,4.88334700e-01,1.05838327e-01,2.92348515e-06,1.35200285e-07
fb03-087,fb03-087__0095,95,noQcorr,4,9.84601713e-01,2.32116021e-01,3.31562236e-06,1.29486129e-07
fb03-087,fb03-087__0099,99,noQcorr,4,9.06575920e-01,2.74650906e-01,3.46973868e-06,1.06438289e-07
fb03-087,fb03-087__0100,100,noQcorr,4,7.47947899e-01,3.64000826e-01,3.39691012e-06,3.55114105e-07
fb03-087,fb03-087__0102,102,noQcorr,2,7.37490022e-02,1.09266002e-02,2.43329166e-06,2.84880321e-07
fb03-087,fb03-087__0109,109,noQcorr,4,7.59443697e-01,3.45657818e-01,3.33545595e-06,2.11090229e-07
fb03-087,fb03-087__0110,110,noQcorr,2,5.08776648e-02,1.14107470e-02,2.92956451e-06,1.07869918e-07
fb03-087,fb03-087__0111,111,noQcorr,4,8.48762847e-01,4.19007232e-01,3.37340674e-06,1.70429307e-07
fb03-087,fb03-087__0118,118,noQcorr,4,5.96732242e-02,1.08035889e-02,2.25856668e-06,1.71138168e-07
fb03-087,fb03-087__0120,120,noQcorr,4,8.41170244e-01,3.53511270e-01,3.29161940e-06,2.33810084e-07
fb03-087,fb03-087__0126,126,noQcorr,4,1.35996379e-02,3.93246065e-03,2.26979567e-06,2.89919914e-07
fb03-087,fb03-087__0128,128,noQcorr,4,1.02917287e-02,2.15516426e-03,2.47384531e-06,2.26309011e-07
fb03-087,fb03-087__0129,129,noQcorr,4,1.18547566e+00,3.59458425e-01,3.13204197e-06,1.29783672e-07
fb03-087,fb03-087__0131,131,noQcorr,4,7.24698961e-01,2.27036258e-01,2.95614970e-06,1.47940968e-07
